feature,reason,value
ppg_green_tke_mean_abs,|corr|>=0.95,1.0
ppg_green_dx_std,|corr|>=0.95,1.0
ppg_green_signal_rms,|corr|>=0.95,1.0
ppg_green_mean_abs,|corr|>=0.95,1.0
ppg_green_diff_mean,|corr|>=0.95,1.0
ppg_green_diff_rms,|corr|>=0.95,0.9999967549351345
ppg_green_impulse_factor,|corr|>=0.95,0.9997749664469558
ppg_green_min,|corr|>=0.95,0.9995502272486136
ppg_green_trim_mean_10,|corr|>=0.95,0.9992893068877216
ppg_green_mean,|corr|>=0.95,0.9991821307853441
ppg_green_max,|corr|>=0.95,0.9980455281495717
ppg_green_range,|corr|>=0.95,0.9979386608329065
ppg_green_crest_factor,|corr|>=0.95,0.9971372509888906
ppg_green_p1,|corr|>=0.95,0.9964617707366813
ppg_green_p5,|corr|>=0.95,0.9964337320946659
ppg_green_diff_std,|corr|>=0.95,0.9959450701377397
ppg_green_tke_mean,|corr|>=0.95,0.9949250344551648
ppg_green_rms,|corr|>=0.95,0.9940267397056212
ppg_green_median,|corr|>=0.95,0.9848159230058587
ppg_green_signal_energy,|corr|>=0.95,0.9632767221165838
ppg_green_ddx_std,|corr|>=0.95,0.959816963057173
ppg_green_p90,|corr|>=0.95,0.9561873565614544
